,Status,Life expectancy,Adult Mortality,BMI,HIV/AIDS,Diphtheria,Polio,GDP,Income composition of resources,Schooling
1048,Developing,72.4,158.0,43.1,0.1,99.0,99.0,7395.88125,0.0,15.6
2913,Developing,55.7,45.0,19.7,11.9,87.0,9.0,1369.68249,0.504,11.4
2397,Developing,58.9,413.0,47.9,8.5,69.0,69.0,849.954224,0.638,12.8
1183,Developed,84.0,7.0,55.4,0.1,95.0,95.0,31996.2172,0.859,17.2
1327,Developed,81.8,7.0,22.9,0.1,96.0,89.0,32289.3554,0.86,14.7
2508,Developed,81.7,57.0,58.1,0.1,98.0,98.0,57134.777,0.903,15.8
2278,Developing,72.9,133.0,52.2,0.1,95.0,95.0,2149.9944,0.715,13.2
1480,Developing,49.4,566.0,29.2,18.2,91.0,89.0,923.136931,0.453,10.8
781,Developing,69.3,214.0,47.2,2.1,79.0,66.0,2421.9662,0.666,12.5
1830,Developed,81.7,58.0,61.6,0.1,96.0,96.0,52157.4687,0.923,18.1
1593,Developing,73.8,132.0,33.4,0.1,97.0,97.0,8513.629541,0.747,12.5
275,Developing,59.3,251.0,24.1,1.3,8.0,8.0,837.9551,0.458,10.0
1697,Developing,75.0,126.0,53.2,0.1,97.0,97.0,731.378864,0.7,11.6
2753,Developing,75.8,85.0,54.8,0.1,92.0,94.0,45758.9554,0.829,13.1
2473,Developing,71.6,176.0,58.3,0.4,89.0,89.0,8818.982566,0.723,12.7
1352,Developing,67.8,235.0,48.5,0.1,98.0,99.0,7165.2775,0.758,14.6
1755,Developing,71.8,123.0,51.7,0.1,99.0,99.0,2884.94776,0.589,10.3
752,Developed,76.9,12.0,52.2,0.1,97.0,97.0,3743.55917,0.86,16.5
1308,Developing,73.5,161.0,46.3,1.9,99.0,99.0,482.24762,0.706,12.4
1347,Developing,69.9,22.0,52.3,0.1,95.0,95.0,1286.56511,0.789,15.0
543,Developing,47.6,44.0,13.9,4.6,36.0,3.0,166.231785,0.0,4.7
945,Developing,78.8,13.0,54.6,0.1,97.0,98.0,22465.64184,0.844,15.7
1922,Developed,79.4,78.0,55.3,0.1,92.0,92.0,5111.65445,0.918,17.1
1531,Developed,76.0,229.0,58.7,0.1,94.0,94.0,924.642548,0.807,16.4
513,Developing,58.0,437.0,22.1,4.5,47.0,47.0,377.132274,0.345,7.1
1749,Developing,74.1,96.0,57.5,0.1,99.0,99.0,3154.513484,0.64,12.1
1569,Developing,57.9,283.0,13.9,0.6,57.0,58.0,245.939659,0.0,8.0
558,Developing,77.3,16.0,54.7,0.1,97.0,96.0,4595.666327,0.761,13.7
2911,Developing,58.0,363.0,2.7,6.8,83.0,8.0,1463.213573,0.533,11.8
1113,Developing,66.3,218.0,4.9,0.8,93.0,93.0,2576.124957,0.618,10.7
1519,Developing,71.1,146.0,54.0,0.1,93.0,93.0,375.442638,0.736,15.8
1448,Developed,72.6,184.0,58.5,0.1,94.0,94.0,12219.37379,0.821,16.4
2259,Developing,65.0,242.0,19.5,0.7,84.0,84.0,773.8698713,0.415,6.4
2274,Developing,73.6,133.0,54.5,0.1,92.0,97.0,4129.758741,0.739,13.4
915,Developing,89.0,78.0,61.7,0.1,98.0,98.0,49914.61864,0.89,17.0
2532,Developed,81.0,69.0,52.8,0.1,93.0,95.0,53255.97631,0.895,15.1
2546,Developing,73.7,123.0,48.5,0.1,8.0,83.0,1762.24617,0.636,11.4
390,Developed,73.2,152.0,62.1,0.1,94.0,94.0,6955.987733,0.768,13.8
1538,Developed,82.0,63.0,61.3,0.1,99.0,99.0,1199.8223,0.896,13.9
195,Developing,77.0,137.0,16.4,0.1,94.0,94.0,856.342857,0.557,9.9
910,Developing,68.0,22.0,53.2,0.1,94.0,95.0,2835.973972,0.689,13.3
1734,Developing,75.8,19.0,6.7,0.1,94.0,94.0,7186.429787,0.799,15.1
1772,Developing,52.1,425.0,19.3,14.1,75.0,75.0,422.1461573,0.36,8.2
578,Developing,74.4,145.0,56.4,0.1,91.0,91.0,83.5863,0.712,13.3
413,Developing,51.0,338.0,12.9,3.2,69.0,69.0,26.7635413,0.0,3.6
922,Developing,79.3,96.0,59.0,0.1,99.0,97.0,48288.5491,0.873,17.2
2754,Developing,75.6,87.0,55.1,0.1,92.0,94.0,42672.61323,0.826,12.9
2234,Developing,74.4,88.0,67.3,0.1,98.0,98.0,24575.434,0.841,15.8
1646,Developed,78.5,71.0,63.9,0.1,94.0,94.0,13689.98999,0.79,13.8
1809,Developing,55.7,452.0,25.8,24.6,77.0,78.0,1713.47594,0.556,11.8
925,Developing,78.7,12.0,57.6,0.1,98.0,96.0,37636.11173,0.869,18.3
1066,Developing,75.0,192.0,45.2,0.4,85.0,85.0,2489.955836,0.578,10.1
1737,Developing,75.3,115.0,59.1,0.1,94.0,93.0,6682.281158,0.787,15.0
511,Developing,79.1,82.0,57.8,0.1,89.0,88.0,24124.16917,0.864,15.9
1355,Developing,65.0,295.0,46.8,0.1,99.0,99.0,5291.57565,0.747,14.3
238,Developing,67.7,254.0,54.9,0.1,99.0,99.0,1244.373185,0.681,13.3
987,Developing,73.9,126.0,49.2,0.1,88.0,89.0,1872.68416,0.714,12.6
1064,Developing,76.0,198.0,46.5,0.4,92.0,92.0,2635.753474,0.596,10.4
2814,Developing,77.0,111.0,61.8,0.1,95.0,95.0,14166.4998,0.78,15.5
1467,Developing,74.1,1.0,61.4,0.1,78.0,75.0,5372.65899,0.733,13.2
637,Developing,78.0,1.0,48.3,0.1,88.0,88.0,4167.71417,0.715,12.1
61,Developing,46.5,391.0,16.3,2.3,41.0,37.0,711.181716,0.401,5.5
2312,Developing,39.0,533.0,17.2,1.2,44.0,46.0,139.3147734,0.292,6.7
2907,Developing,61.1,314.0,22.8,4.3,86.0,78.0,1738.8822,0.57,12.5
563,Developing,75.4,89.0,3.0,0.1,99.0,99.0,6337.882993,0.703,12.4
2655,Developing,71.0,183.0,41.1,0.2,9.0,9.0,1458.8796,0.773,12.5
356,Developing,74.1,152.0,52.8,0.1,99.0,98.0,13167.47289,0.724,14.0
1195,Developing,64.8,28.0,13.9,0.3,65.0,66.0,792.259698,0.536,9.7
2068,Developed,77.2,17.0,51.7,0.1,98.0,96.0,12882.28897,0.788,15.9
1451,Developed,75.0,229.0,57.4,0.1,96.0,96.0,9667.9757,0.807,16.2
1798,Developing,66.1,232.0,34.1,2.5,89.0,89.0,5488.131712,0.625,11.6
2060,Developed,79.6,88.0,58.1,0.1,98.0,97.0,22538.6548,0.812,16.0
330,Developing,75.0,12.0,5.5,0.1,93.0,95.0,2968.41186,0.0,12.5
386,Developed,74.1,14.0,64.5,0.1,95.0,95.0,7674.86559,0.781,14.4
1279,Developing,79.3,74.0,59.2,0.1,9.0,91.0,18431.15696,0.855,15.3
2757,Developing,75.1,95.0,57.0,0.1,94.0,94.0,36161.1761,0.813,12.4
1923,Developed,78.9,81.0,54.6,0.1,93.0,93.0,4361.1538,0.916,17.1
1141,Developing,74.1,151.0,48.4,0.4,97.0,97.0,2178.38325,0.614,11.6
219,Developing,73.8,119.0,46.2,0.2,93.0,93.0,12868.8639,0.757,14.4
2507,Developed,81.9,57.0,58.5,0.1,98.0,98.0,6283.24522,0.904,15.8
1123,Developing,63.1,245.0,48.8,0.5,48.0,55.0,83.1148117,0.487,9.1
795,Developing,74.4,144.0,47.9,0.3,96.0,92.0,335.786541,0.693,12.8
1604,Developing,77.9,64.0,25.1,0.1,99.0,99.0,7112.33575,0.683,12.4
234,Developing,68.1,252.0,56.7,0.1,99.0,98.0,3126.71767,0.713,14.4
1756,Developing,71.4,128.0,5.8,0.1,95.0,95.0,2494.353552,0.581,10.0
751,Developed,77.0,12.0,52.8,0.1,97.0,97.0,3751.64946,0.862,16.2
51,Developing,56.0,358.0,21.5,2.6,75.0,75.0,4598.249988,0.508,10.3
2126,Developed,73.1,159.0,55.6,0.1,96.0,95.0,1136.47356,0.78,14.7
2401,Developing,54.5,486.0,45.0,26.4,82.0,79.0,6125.39984,0.612,12.9
1099,Developing,54.4,36.0,2.7,5.6,71.0,74.0,418.94454,0.388,8.3
1002,Developed,79.8,82.0,58.5,0.1,96.0,95.0,41814.8191,0.898,16.6
2158,Developing,68.0,282.0,17.1,3.7,97.0,97.0,5.6687264,0.438,10.4
2261,Developing,59.0,251.0,18.7,0.7,73.0,73.0,642.7663113,0.401,5.9
470,Developing,66.1,195.0,15.9,0.6,94.0,95.0,738.2326684,0.52,10.5
1380,Developing,65.8,22.0,76.7,0.1,95.0,91.0,1724.361737,0.589,11.9
259,Developing,69.4,189.0,48.5,0.1,98.0,98.0,4673.63848,0.702,12.5
1995,Developing,73.4,15.0,47.1,0.1,89.0,84.0,3988.11894,0.675,12.3
111,Developing,72.0,142.0,47.1,0.1,93.0,96.0,622.7427477,0.639,11.2
2683,Developing,75.2,19.0,64.5,0.1,98.0,98.0,12542.93565,0.754,14.4
176,Developing,76.9,69.0,63.6,0.1,98.0,98.0,22688.87824,0.823,14.5
258,Developing,69.8,18.0,49.3,0.2,95.0,95.0,4688.538443,0.706,12.9
1750,Developing,73.9,97.0,56.5,0.1,99.0,99.0,3111.762887,0.634,12.1
245,Developed,80.0,81.0,61.9,0.1,98.0,98.0,4438.23741,0.878,15.9
931,Developing,82.2,79.0,62.0,0.1,98.0,98.0,42955.24287,0.89,16.2
1060,Developing,71.4,189.0,49.3,0.4,85.0,84.0,3452.828934,0.611,10.7
508,Developing,79.7,78.0,6.0,0.1,91.0,88.0,28172.14883,0.877,15.8
1404,Developing,73.6,9.0,66.3,0.1,99.0,99.0,3549.26132,0.789,14.2
2399,Developing,56.5,449.0,46.4,19.0,76.0,75.0,5888.6284,0.622,12.8
1751,Developing,73.6,99.0,55.5,0.1,99.0,99.0,294.746728,0.623,11.6
2847,Developing,71.0,145.0,49.1,0.1,65.0,66.0,2965.82434,0.59,10.8
984,Developing,73.2,133.0,51.3,0.1,88.0,93.0,276.588512,0.734,12.8
1329,Developed,81.1,74.0,22.2,0.1,85.0,98.0,38532.488,0.852,14.5
2305,Developing,45.3,45.0,2.2,2.2,64.0,63.0,358.8274716,0.357,8.2
2070,Developed,76.6,11.0,5.1,0.1,96.0,96.0,1152.39681,0.777,15.5
10,Developing,57.3,291.0,14.2,0.1,58.0,58.0,25.2941299,0.396,7.9
1864,Developing,73.9,157.0,51.7,0.1,98.0,99.0,1792.3845,0.625,11.5
1811,Developing,57.4,41.0,24.5,22.8,79.0,8.0,257.99557,0.559,11.5
2577,Developing,73.3,165.0,24.6,0.4,98.0,98.0,3972.26475,0.687,12.3
369,Developing,77.6,8.0,4.2,0.1,99.0,99.0,4159.8652,0.863,15.0
1530,Developed,72.0,24.0,59.0,0.1,95.0,95.0,12297.91535,0.812,16.4
237,Developing,67.2,262.0,55.3,0.1,99.0,99.0,1479.383142,0.687,13.6
1868,Developing,72.5,169.0,48.6,0.2,97.0,97.0,1518.85386,0.607,11.1
570,Developing,73.9,99.0,24.1,0.1,87.0,87.0,1753.4178,0.634,10.6
2489,Developing,58.9,373.0,32.3,7.1,9.0,84.0,3136.92511,0.541,11.4
287,Developing,55.4,279.0,18.4,2.0,78.0,78.0,374.1923942,0.389,6.4
1295,Developed,80.0,72.0,56.4,0.1,93.0,96.0,22196.5736,0.836,15.2
184,Developing,75.6,77.0,57.6,0.1,97.0,97.0,2977.1153,0.813,14.4
819,Developing,73.3,181.0,55.4,0.2,94.0,93.0,3988.771871,0.676,13.2
1879,Developing,69.0,227.0,18.5,0.6,67.0,56.0,416.14838,0.341,5.3
2855,Developing,69.3,176.0,42.6,0.1,7.0,67.0,1353.934819,0.0,10.2
991,Developing,71.7,142.0,47.0,0.1,84.0,89.0,779.3845935,0.677,11.8
929,Developing,77.5,15.0,55.5,0.1,99.0,96.0,24253.2542,0.847,17.3
1897,Developing,52.3,375.0,22.8,4.7,48.0,48.0,2527.9423,0.5,9.6
2251,Developing,66.0,196.0,23.2,0.3,92.0,89.0,148.912351,0.474,8.7
2298,Developing,48.1,463.0,23.8,0.6,83.0,83.0,78.4394757,0.426,9.5
322,Developing,77.0,9.0,54.7,0.1,89.0,87.0,535.86555,0.735,14.2
368,Developing,77.7,78.0,41.2,0.1,99.0,99.0,3967.8951,0.864,14.9
1092,Developing,58.1,279.0,25.0,4.5,87.0,87.0,61.566347,0.415,9.1
587,Developing,72.8,148.0,49.8,0.1,89.0,89.0,274.249442,0.658,11.3
2621,Developing,58.3,34.0,22.0,2.6,85.0,85.0,562.3393592,0.457,11.5
414,Developing,56.0,344.0,12.5,3.6,62.0,62.0,235.4912324,0.0,3.5
360,Developing,73.3,159.0,49.4,0.1,99.0,99.0,7313.557962,0.7,13.5
2744,Developing,67.7,253.0,55.1,0.8,99.0,99.0,78.738243,0.673,13.2
1816,Developing,68.9,167.0,17.4,0.2,9.0,9.0,681.7925868,0.538,12.3
2455,Developing,72.7,16.0,14.6,0.1,98.0,98.0,837.699787,0.686,12.5
1180,Developed,81.0,62.0,56.9,0.1,95.0,95.0,56249.7555,0.879,17.9
134,Developed,82.0,77.0,54.7,0.1,83.0,83.0,47654.18721,0.87,15.3
1578,Developing,48.5,559.0,16.6,19.3,87.0,88.0,32.2227274,0.387,9.7
1304,Developing,74.7,142.0,49.7,0.6,9.0,9.0,4293.383274,0.721,12.7
1542,Developed,88.0,72.0,59.6,0.1,99.0,96.0,115761.577,0.894,13.9
1300,Developing,75.6,136.0,52.7,0.6,93.0,86.0,56.144952,0.727,12.8
2850,Developing,73.0,157.0,46.6,0.1,67.0,67.0,2393.367265,0.579,10.7
1836,Developed,83.0,68.0,57.9,0.1,97.0,97.0,56928.8248,0.905,16.8
1051,Developing,71.7,167.0,41.1,0.1,91.0,91.0,6764.722867,0.0,15.1
1671,Developing,73.6,158.0,31.3,0.1,98.0,98.0,9197.26972,0.748,14.1
1489,Developing,49.3,543.0,24.9,29.8,83.0,82.0,474.8197876,0.445,9.6
2666,Developing,75.1,12.0,6.2,0.1,98.0,98.0,4271.68172,0.722,14.7
246,Developed,79.8,85.0,61.6,0.1,98.0,98.0,4488.5615,0.876,15.8
1349,Developing,69.1,214.0,5.6,0.1,99.0,98.0,12387.18982,0.774,14.7
1698,Developing,74.8,129.0,52.4,0.1,97.0,97.0,672.92113,0.694,11.4
873,Developing,74.2,167.0,56.7,0.1,95.0,95.0,1894.5485,0.835,16.1
1937,Developing,74.0,122.0,48.9,0.1,99.0,99.0,1129.28886,0.734,11.5
1120,Developing,65.4,247.0,36.4,1.7,85.0,9.0,925.582546,0.606,10.9
1810,Developing,56.5,426.0,25.1,23.9,78.0,79.0,1834.29486,0.556,11.7
1779,Developing,49.0,43.0,16.5,12.2,7.0,69.0,277.6486591,0.291,5.4
1834,Developed,88.0,64.0,59.3,0.1,97.0,97.0,5338.25483,0.906,17.0
2657,Developing,69.7,187.0,39.3,0.7,88.0,9.0,1653.1844,0.76,12.4
684,Developed,78.6,65.0,54.8,0.1,98.0,98.0,23932.49128,0.823,13.4
178,Developing,76.7,7.0,62.2,0.1,99.0,99.0,251.18329,0.815,14.5
484,Developing,55.6,371.0,26.6,4.9,82.0,8.0,1295.649726,0.486,10.0
2023,Developing,68.5,211.0,25.4,0.1,6.0,79.0,2878.33837,0.679,11.7
2493,Developing,55.0,438.0,3.2,15.7,91.0,85.0,3934.27325,0.526,11.2
872,Developing,74.9,156.0,57.1,0.1,95.0,95.0,14726.31828,0.836,16.1
1133,Developing,58.7,32.0,37.5,4.3,55.0,58.0,387.9429725,0.45,8.1
2043,Developed,76.7,128.0,59.1,0.1,99.0,96.0,13893.18768,0.829,15.4
914,Developing,81.1,76.0,62.1,0.1,97.0,97.0,4245.39744,0.893,17.0
1681,Developing,71.5,177.0,25.8,0.1,92.0,93.0,3792.182152,0.673,12.2
1821,Developing,66.6,194.0,14.9,0.2,82.0,82.0,393.8843518,0.486,10.0
1148,Developing,72.5,163.0,42.8,0.9,98.0,98.0,1311.741714,0.577,10.6
986,Developing,74.4,12.0,49.9,0.1,98.0,88.0,2492.12878,0.722,12.5
2447,Developing,71.8,183.0,19.2,0.1,97.0,97.0,216.681584,0.735,13.4
2705,Developing,64.1,241.0,42.0,0.1,98.0,98.0,26.371428,0.0,10.4
2579,Developing,72.5,177.0,22.6,0.5,98.0,98.0,2893.651356,0.682,12.0
1893,Developing,54.5,344.0,25.4,3.7,49.0,49.0,2655.157977,0.525,10.0
1522,Developed,73.6,165.0,62.4,0.1,93.0,93.0,14252.42853,0.846,16.5
2716,Developing,67.0,325.0,17.6,4.0,78.0,82.0,662.492293,0.478,10.0
1797,Developing,65.9,242.0,34.9,2.2,88.0,88.0,5421.343953,0.632,11.7
2166,Developing,48.3,426.0,13.2,8.5,9.0,9.0,216.172747,0.318,6.6
2245,Developing,73.0,13.0,58.5,0.1,95.0,95.0,9567.458285,0.747,12.2
648,Developed,76.0,116.0,59.4,0.1,96.0,96.0,15893.8656,0.8,14.3
959,Developing,59.7,315.0,29.2,10.7,45.0,44.0,412.55271,0.636,12.3
1841,Developed,78.7,8.0,54.2,0.1,98.0,98.0,35245.1647,0.881,16.5
878,Developing,71.9,199.0,54.9,0.1,94.0,95.0,7174.237415,0.798,15.6
137,Developed,79.8,81.0,53.2,0.1,83.0,83.0,443.99361,0.854,15.0
1384,Developing,65.2,28.0,74.6,0.1,86.0,84.0,1297.285141,0.576,11.9
347,Developing,48.1,652.0,32.2,28.4,96.0,96.0,4896.583835,0.58,11.8
2674,Developing,74.4,12.0,53.1,0.1,99.0,99.0,3371.71231,0.689,14.2
2345,Developed,88.0,74.0,6.1,0.1,95.0,95.0,2729.86383,0.888,17.3
820,Developing,73.0,184.0,54.7,0.2,92.0,92.0,3895.664491,0.675,13.2
83,Developing,75.9,12.0,61.0,0.1,91.0,99.0,12969.7712,0.822,17.2
2747,Developing,76.9,77.0,62.4,0.1,99.0,99.0,44449.7435,0.832,13.3
33,Developing,75.4,11.0,58.4,0.1,95.0,95.0,547.8517,0.741,14.4
151,Developing,73.0,141.0,46.6,0.1,81.0,85.0,5574.6382,0.719,11.6
1966,Developing,76.5,127.0,52.7,0.1,86.0,86.0,6973.9284,0.75,12.8
1167,Developed,72.5,184.0,57.1,0.1,99.0,98.0,665.6443,0.775,14.6
2909,Developing,59.2,349.0,21.7,5.6,78.0,7.0,1734.93612,0.554,12.3
2491,Developing,57.6,393.0,31.2,9.8,98.0,98.0,3598.75972,0.539,11.4
2037,Developing,66.8,221.0,18.3,0.1,79.0,76.0,957.287441,0.622,11.4
1245,Developing,67.2,21.0,51.9,0.1,74.0,69.0,1391.816923,0.603,9.8
2000,Developing,72.3,161.0,43.5,0.2,98.0,98.0,189.71539,0.648,12.1
2304,Developing,46.2,441.0,2.7,1.9,77.0,75.0,46.3759178,0.367,8.3
1789,Developing,64.2,22.0,17.0,0.6,82.0,82.0,296.97284,0.474,8.0
138,Developed,79.4,85.0,52.7,0.1,86.0,86.0,38242.4252,0.848,14.9
376,Developing,76.0,1.0,33.2,0.1,99.0,95.0,32672.36717,0.84,14.3
2223,Developing,65.8,21.0,26.2,0.9,98.0,99.0,199.57146,0.533,10.1
276,Developing,59.1,251.0,23.5,1.4,75.0,77.0,825.9427854,0.454,9.8
848,Developing,53.1,334.0,18.7,2.3,35.0,43.0,2283.87939,0.527,8.0
2478,Developing,73.0,19.0,54.8,0.5,96.0,96.0,833.31332,0.7,12.3
2578,Developing,73.0,168.0,23.6,0.5,98.0,98.0,3368.952576,0.686,12.4
2652,Developing,78.0,174.0,44.0,0.4,92.0,91.0,19152.531,0.772,12.6
1730,Developing,63.2,266.0,39.1,0.1,95.0,95.0,524.145924,0.588,9.4
1484,Developing,44.5,675.0,27.4,34.8,89.0,88.0,862.9463118,0.437,10.7
759,Developing,69.0,279.0,31.7,3.2,89.0,89.0,1253.657431,0.436,5.3
865,Developing,45.3,593.0,12.6,1.9,81.0,82.0,28.1969487,0.0,3.9
602,Developing,60.0,266.0,19.2,0.1,68.0,67.0,621.93372,0.434,9.7
260,Developing,69.4,188.0,47.8,0.5,95.0,95.0,4516.24675,0.7,12.4
1172,Developed,82.4,5.0,6.2,0.1,91.0,91.0,4781.3888,0.907,19.0
761,Developing,59.8,296.0,3.9,3.5,88.0,88.0,147.586896,0.416,4.5
492,Developing,51.8,412.0,22.3,7.7,73.0,72.0,824.8689393,0.452,8.1
70,Developing,75.4,14.0,43.8,0.1,99.0,98.0,1312.46692,0.788,14.2
898,Developing,69.9,188.0,62.7,0.1,99.0,99.0,4921.89629,0.734,15.3
1987,Developing,59.6,321.0,39.6,1.4,68.0,62.0,588.3582595,0.433,7.2
2733,Developing,77.0,25.0,59.6,0.2,76.0,72.0,3855.42128,0.739,15.1
1385,Developing,65.1,21.0,74.1,0.1,82.0,74.0,1413.3234,0.572,11.6
1871,Developing,71.2,194.0,46.4,0.3,86.0,87.0,1175.116225,0.592,11.0
2354,Developed,78.1,17.0,54.7,0.1,97.0,97.0,19726.1265,0.858,16.7
2395,Developing,69.0,371.0,49.5,4.5,73.0,73.0,6876.953821,0.652,12.8
1532,Developed,78.0,222.0,58.4,0.1,94.0,93.0,7863.1629,0.798,16.2
222,Developing,73.4,125.0,43.8,0.7,84.0,93.0,11513.87189,0.75,14.0
2406,Developing,54.9,459.0,41.6,26.6,7.0,7.0,2518.398261,0.62,12.9
844,Developing,54.4,337.0,2.2,4.9,39.0,5.0,185.63334,0.563,8.7
1280,Developing,79.3,74.0,58.7,0.1,92.0,93.0,236.19646,0.85,15.1
86,Developing,75.6,126.0,59.2,0.1,94.0,97.0,8161.36966,0.794,16.5
2644,Developing,72.2,151.0,68.6,0.1,9.0,91.0,2284.37858,0.693,14.6
57,Developing,47.7,381.0,18.2,2.5,34.0,36.0,262.415149,0.439,7.2
1988,Developing,59.3,327.0,38.9,1.4,61.0,54.0,511.665773,0.428,6.9
1781,Developing,66.4,21.0,22.9,0.3,88.0,88.0,1262.893782,0.547,9.1
560,Developing,76.1,85.0,32.9,0.1,99.0,99.0,869.211938,0.734,13.5
2564,Developing,65.9,177.0,33.0,0.3,86.0,82.0,39.281834,0.563,10.5
372,Developing,77.4,79.0,37.2,0.1,97.0,99.0,4717.273,0.846,14.1
1465,Developing,74.5,98.0,62.5,0.1,81.0,75.0,712.775759,0.74,13.1
2324,Developed,79.7,71.0,29.9,0.1,95.0,95.0,2745.27136,0.82,12.7
2307,Developing,43.3,48.0,19.2,2.2,65.0,67.0,287.6891942,0.341,7.8
1491,Developing,58.1,329.0,26.7,0.9,5.0,49.0,458.4651734,0.426,9.9
52,Developing,51.0,361.0,21.0,2.5,71.0,73.0,4299.12889,0.495,9.4
595,Developing,62.5,237.0,22.6,0.8,86.0,85.0,788.632653,0.484,10.8
1563,Developing,61.4,263.0,16.3,0.6,85.0,83.0,292.157443,0.478,9.0
1368,Developing,59.1,317.0,18.4,5.0,88.0,89.0,92.816252,0.514,10.7
643,Developed,77.7,97.0,62.5,0.1,96.0,96.0,13574.749,0.817,14.9
2433,Developed,89.0,72.0,61.7,0.1,96.0,96.0,3279.414,0.849,16.0
1271,Developing,81.7,61.0,63.0,0.1,95.0,95.0,3661.994,0.878,15.7
1475,Developing,52.1,522.0,32.0,9.4,93.0,9.0,1174.839214,0.491,10.8
1675,Developing,72.9,161.0,29.1,0.1,97.0,96.0,6574.654338,0.72,13.5
1278,Developing,79.7,71.0,59.6,0.1,93.0,93.0,18946.99942,0.863,16.0
2205,Developing,72.6,144.0,72.5,0.1,62.0,57.0,3453.487434,0.69,12.9
2300,Developing,49.7,411.0,22.7,0.9,91.0,91.0,561.8984239,0.401,9.1
646,Developed,76.6,16.0,6.6,0.1,97.0,97.0,1355.74586,0.803,14.2
990,Developing,72.7,132.0,47.5,0.1,75.0,74.0,928.18227,0.684,11.8
25,Developing,74.2,99.0,5.8,0.1,97.0,97.0,35.1293,0.696,11.4
686,Developed,78.4,68.0,53.8,0.1,98.0,98.0,16372.29152,0.805,12.5
1501,Developing,54.0,329.0,21.5,3.2,31.0,47.0,149.4452549,0.335,10.2
2241,Developing,73.2,99.0,61.6,0.1,96.0,96.0,16472.1665,0.773,12.7
564,Developing,75.2,91.0,29.0,0.1,99.0,99.0,5633.79616,0.7,12.8
1524,Developed,73.0,178.0,61.4,0.1,93.0,93.0,15712.82376,0.834,16.4
2910,Developing,58.2,366.0,21.2,6.3,81.0,83.0,1644.619672,0.543,12.0
14,Developing,55.3,316.0,12.6,0.1,33.0,35.0,117.49698,0.34,5.9
571,Developing,73.5,11.0,23.4,0.1,87.0,87.0,158.668462,0.622,10.2
1976,Developing,62.7,278.0,47.9,0.7,73.0,64.0,2182.716565,0.511,10.0
2119,Developed,75.0,133.0,6.7,0.1,89.0,89.0,8958.788593,0.798,14.7
2745,Developing,67.5,257.0,54.8,0.7,99.0,99.0,635.789635,0.669,13.3
1648,Developed,77.8,79.0,62.8,0.1,95.0,95.0,1121.78636,0.783,13.7
2046,Developed,75.5,14.0,57.2,0.1,99.0,96.0,141.44688,0.813,15.0
38,Developing,74.4,123.0,52.8,0.1,95.0,94.0,3868.83123,0.705,13.1
516,Developing,49.8,443.0,2.7,5.8,47.0,47.0,494.336779,0.361,6.8
1081,Developing,56.8,33.0,19.8,2.3,6.0,59.0,437.4467238,0.371,7.9
73,Developing,74.8,145.0,42.0,0.1,99.0,99.0,12724.39377,0.773,14.7
